LABEL,pValueCutLo_,Tracks over Q,Time/event [s], Times FSQ is called
mainFit,N/A,2424,8.81707,N/A
FSQ,N/A,3835,24.1552,N/A
A,0.0000,3924,25.1656,12044
B,0.0001,3167,13.8076,4404
C,0.0002,3132,13.4638,4222
D,0.0003,3109,13.2579,4113
E,0.0004,3098,13.0531,4041
F,0.0005,3088,12.9142,3964
G,0.0006,3080,12.8316,3913
H,0.0007,3066,12.7581,3855
I,0.0008,3052,12.6496,3803
J,0.0009,3042,12.5293,3754
K,0.0010,3038,12.4992,3719
L,0.0020,2981,12.0826,3450
M,0.0030,2941,11.8074,3288
N,0.0040,2908,11.6702,3167
O,0.0050,2889,11.4955,3073
P,0.0060,2867,11.3272,2980
Q,0.0070,2841,11.2305,2905
R,0.0080,2822,11.1666,2836
S,0.0090,2800,11.0107,2782
T,0.0100,2784,10.9493,2720
U,0.0110,2764,10.8564,2673
V,0.0120,2744,10.7637,2617
X,0.0130,2734,10.7108,2552
Y,0.0140,2721,10.6349,2523
Z,0.0150,2709,10.5266,2483
AA,0.0160,2694,10.4641,2435
AB,0.0170,2680,10.3737,2396
AC,0.0180,2671,10.3218,2368
AD,0.0190,2664,10.2871,2328
AE,0.020,2658,10.1771,2296
AF,0.025,2609,9.95306,2160
AG,0.030,2572,9.74104,2045
AH,0.035,2532,9.60641,1930
AI,0.040,2493,9.44493,1836
AJ,0.045,2463,9.2492,1750
