LABEL,pValueCutLo_,Tracks over Q,Time/event [s], Times FSQ is called
mainFit,N/A,1962,6.39788,0
FSQ,N/A,2948,17.485,0
A,0.0000,3000,19.5465,13509
B,0.0001,2454,9.13571,4539
C,0.0002,2423,8.9509,4328
D,0.0003,2409,8.74369,4206
E,0.0004,2397,8.74948,4119
F,0.0005,2388,8.60571,4047
G,0.0006,2383,8.55201,3994
H,0.0007,2377,8.44414,3941
I,0.0008,2370,8.35718,3892
J,0.0009,2366,8.31419,3856
K,0.0010,2361,8.17901,3811
L,0.0020,2315,8.53029,3527
M,0.0030,2286,8.29398,3348
N,0.0040,2265,8.22356,3239
O,0.0050,2247,8.03432,3135
P,0.0060,2235,7.95626,3060
Q,0.0070,2223,7.89287,2995
R,0.0080,2206,7.8504,2928
S,0.0090,2193,7.67913,2878
T,0.0100,2185,7.65926,2824
U,0.0110,2170,7.65494,2777
V,0.0120,2158,7.65831,2730
X,0.0130,2147,7.60059,2687
Y,0.0140,2142,7.54311,2656
Z,0.0150,2135,7.4257,2626
AA,0.0160,2128,7.44466,2589
AB,0.0170,2115,7.27638,2546
AC,0.0180,2108,7.34085,2515
AD,0.0190,2102,7.25462,2487
AE,0.020,2097,7.20663,2460
AF,0.025,2060,7.24138,2342
AG,0.030,2038,7.13307,2253
AH,0.035,2017,6.98993,2167
AI,0.040,2007,6.93654,2109
AJ,0.045,1985,6.84859,2046
